article_name;url_store_0;url_store_1;url_store_2
LEGO 42092 Technic ;21.99;24.07;29.49
Lego 41369 Friends Mias Haus mit Pferd;52.94;56.16;61.49
LEGO 42099 Technic 4x4 X-treme Off-Roader;167.99;195.41;N/A
LEGO 42098 Technic - Autotransporter;114.99;127.44;149.99
LEGO 42105 Technic Katamaran ;N/A;32.63;N/A
LEGO 76153 Marvel Super Heroes Avengers Helicarrier;96.07;103.44;N/A
LEGO 41425 Friends Olivias Blumengarten;8.15;9.99;9.49
LEGO 41395 Friends Freundschaftsbus;54.58;56.16;63.95
LEGO 41428 Friends Strandhaus mit Tretboot;41.7;40.79;47.49
LEGO 41378 Friends Rettungs-U-Boot für Delfine;29.99;31.62;38.95
LEGO 75979 Harry Potter Hedwig;32.45;32.63;39.49
LEGO 75968 Harry Potter Ligusterweg 4;58.04;58.79;65.95
LEGO 76153 Marvel Super Heroes Avengers Helicarrier;96.07;103.44;N/A
LEGO 76124 Marvel Super Heroes War Machine Buster;25.44;28.07;33.49
LEGO 41393 Friends Die große Backshow;28.17;27.99;38.95
LEGO 41380 Friends Leuchtturm mit Flutlicht;N/A;48.14;55.95
LEGO 41391 Friends Friseursalon von Heartlake City;14.97;83.99;17.95
LEGO 41375 Friends Vergnügungspark von Heartlake City;96.98;107.36;116.95
LEGO 41430 Friends Wasserpark von Heartlake City;77.99;83.99;91.49
LEGO 41127 Friends Spielspaß im Freizeitpark;34.96;N/A;N/A
LEGO 41311 Friends Heartlake Pizzeria;N/A;N/A;N/A
LEGO 42111 Technic Dom's Dodge Charger;80.37;N/A;N/A
LEGO 42100 Technic Liebherr Bagger R 9800;329.99;N/A;449.99
LEGO 42110 Technic Land Rover Defender;154.99;N/A;163.95
LEGO 42096 Technic Porsche 911 RSR;114.23;127.44;132.95
LEGO 42108 Technic Kran-LKW;73.99;83.72;92.49
LEGO 75956 Harry Potter Quidditch Turnier;N/A;32.08;37.49
LEGO 75957 Harry Potter Der Fahrende Ritter;29.99;32.08;39.49
LEGO 75958 Harry Potter Beauxbatons Kutsche;37.99;40.11;47.49
LEGO 75950 Harry Potter Aragogs Versteck;31.3;N/A;15.95
LEGO 75955 Harry Potter Hogwarts Express;N/A;N/A;N/A
LEGO 75945 Harry Potter Expecto Patronum;N/A;15.58;17.49
LEGO 76152 Marvel Lokis Rache;49.61;48.96;55.95
LEGO 76020 Marvel Der große Ausbruch;N/A;N/A;N/A
LEGO 76130 Marvel Stark Jet und die Drohne Attack;46.04;N/A;N/A
LEGO 76125 Marvel Super Heroes Iron Mans Werkstatt;46.04;48.14;55.49
LEGO 10847 Duplo Zahlenzug;14.99;15.58;N/A
LEGO 10863 Duplo Meine erste Steinebox mit Ziehtieren;21.99;N/A;29.3
LEGO 10909 Duplo Mein erster Bauspaß;15.21;N/A;N/A
LEGO 10840 Duplo Großer Jahrmarkt;59.83;64.18;70.85
LEGO 10914 Duplo Deluxe Steinebox Bauset mit Aufbewahrungsbox;38.99;N/A;47.49
LEGO 10875 Duplo Güterzug Kinderspielzeug;89.99;101.95;N/A
LEGO 42083 Technic Bugatti Chiron;279.07;314.34;310.95
LEGO 42092 Technic Rettungshubschrauber;21.99;24.07;29.49
LEGO 42088 Technic Hubarbeitsbühne;7.99;9.04;8.49
LEGO 42093 Technic Chevrolet Corvette ZR1;32.99;32.08;39.99
LEGO 41429 Friends Heartlake City Flugzeug;56.62;57.11;63.95
LEGO 41426 Friends Heartlake City Waffelhaus;16.26;16.08;17.95
LEGO 41351 Friends Tuning-Werkstatt;24.47;27.99;39.99
LEGO 41350 Friends Autowaschanlage;59.99;27.99;29.99
LEGO 41347 Friends Heartlake City Resort;N/A;99.99;89.99
LEGO 41394 Friends Krankenhaus von Heartlake City;N/A;N/A;55.95
LEGO 41392 Friends Camping in Heartlake City;N/A;N/A;29.99
LEGO 76144 Marvel Hulk Helikopter Rettung;46.04;N/A;55.95
LEGO 76123 Marvel Captain America: Outrider-Attacke;N/A;N/A;24.95
LEGO 76103 Marvel Corvus Glaives Attacke;114.15;N/A;N/A
LEGO 76101 Marvel Super Heroes Outrider Dropship-Angriff;N/A;N/A;N/A
LEGO 76107 Marvel Super Heroes Thanos: Das ultimative Gefecht;N/A;N/A;72.8
LEGO 75946 Harry Potter Das Trimagische Turnier: der ungarische Hornschwanz;26.99;N/A;34.95
LEGO 75966 Harry Potter Der Raum der Wünsche auf Schloss Hogwart;16.02;15.84;17.49
